player_id,player_name,position,has_beard,has_mustache,is_redhead
00-0032146,00-0032146,Unknown,True,True,False
00-0032150,00-0032150,Unknown,True,True,False
00-0032164,00-0032164,Unknown,True,True,False
00-0032165,00-0032165,Unknown,False,True,False
00-0032195,00-0032195,Unknown,True,True,False
00-0032197,00-0032197,Unknown,True,True,False
00-0032366,00-0032366,Unknown,True,True,True
00-0032378,00-0032378,Unknown,True,True,False
00-0032379,00-0032379,Unknown,True,True,False
00-0032387,00-0032387,Unknown,True,True,False
00-0032388,00-0032388,Unknown,True,True,False
00-0032399,00-0032399,Unknown,True,True,False
00-0032401,00-0032401,Unknown,True,True,False
00-0032415,00-0032415,Unknown,True,True,False
00-0032424,00-0032424,Unknown,True,True,False
00-0032434,00-0032434,Unknown,True,True,False
00-0032437,00-0032437,Unknown,True,True,False
00-0032442,00-0032442,Unknown,True,True,False
00-0032454,00-0032454,Unknown,True,True,False
00-0032521,00-0032521,Unknown,False,False,False
00-0032574,00-0032574,Unknown,True,True,False
00-0032580,00-0032580,Unknown,True,True,False
00-0032655,00-0032655,Unknown,False,True,False
00-0032667,00-0032667,Unknown,True,True,False
00-0032671,00-0032671,Unknown,True,True,False
00-0032759,00-0032759,Unknown,True,True,False
00-0032762,00-0032762,Unknown,True,True,False
00-0032763,00-0032763,Unknown,True,True,False
00-0032774,00-0032774,Unknown,True,True,False
00-0032790,00-0032790,Unknown,True,True,False
00-0032803,00-0032803,Unknown,True,True,False
00-0032889,00-0032889,Unknown,True,True,False
00-0032890,00-0032890,Unknown,True,True,False
00-0032891,00-0032891,Unknown,True,True,False
00-0032892,00-0032892,Unknown,False,True,False
00-0032933,00-0032933,Unknown,False,True,False
00-0032939,00-0032939,Unknown,True,True,False
00-0032942,00-0032942,Unknown,True,True,False
00-0032950,00-0032950,Unknown,True,True,True
00-0032968,00-0032968,Unknown,True,True,False
00-0032971,00-0032971,Unknown,True,True,False
00-0033010,00-0033010,Unknown,True,True,False
00-0033038,00-0033038,Unknown,True,True,False
00-0033046,00-0033046,Unknown,True,True,False
00-0033051,00-0033051,Unknown,True,True,False
00-0033055,00-0033055,Unknown,True,True,False
00-0033064,00-0033064,Unknown,True,True,False
00-0033066,00-0033066,Unknown,True,True,False
00-0033072,00-0033072,Unknown,True,True,False
00-0033073,00-0033073,Unknown,True,True,False
00-0033093,00-0033093,Unknown,True,True,False
00-0033096,00-0033096,Unknown,True,True,False
00-0033103,00-0033103,Unknown,True,True,False
00-0033109,00-0033109,Unknown,True,True,False
00-0033120,00-0033120,Unknown,True,True,False
00-0033131,00-0033131,Unknown,True,True,False
00-0033132,00-0033132,Unknown,True,True,False
00-0033156,00-0033156,Unknown,True,True,False
00-0033281,00-0033281,Unknown,True,True,False
00-0033297,00-0033297,Unknown,True,True,False
00-0033302,00-0033302,Unknown,True,True,False
00-0033336,00-0033336,Unknown,True,True,False
00-0033347,00-0033347,Unknown,True,True,False
00-0033357,00-0033357,Unknown,False,False,False
00-0033381,00-0033381,Unknown,True,True,False
00-0033393,00-0033393,Unknown,True,True,False
00-0033445,00-0033445,Unknown,True,True,False
00-0033461,00-0033461,Unknown,True,True,False
00-0033463,00-0033463,Unknown,False,False,False
00-0033503,00-0033503,Unknown,True,True,False
00-0033512,00-0033512,Unknown,True,True,False
00-0033523,00-0033523,Unknown,True,True,False
00-0033543,00-0033543,Unknown,True,True,False
00-0033546,00-0033546,Unknown,True,True,False
00-0033547,00-0033547,Unknown,True,True,False
00-0033548,00-0033548,Unknown,True,False,False
00-0033557,00-0033557,Unknown,True,True,False
00-0033566,00-0033566,Unknown,True,True,False
00-0033697,00-0033697,Unknown,True,True,False
00-0033770,00-0033770,Unknown,True,True,False
00-0033784,00-0033784,Unknown,True,True,False
00-0033868,00-0033868,Unknown,True,True,False
00-0033870,00-0033870,Unknown,True,True,False
00-0033875,00-0033875,Unknown,True,True,False
00-0033876,00-0033876,Unknown,True,True,False
00-0033878,00-0033878,Unknown,True,True,False
00-0033884,00-0033884,Unknown,True,True,False
00-0033894,00-0033894,Unknown,False,False,False
00-0033902,00-0033902,Unknown,True,True,False
00-0033905,00-0033905,Unknown,True,True,False
00-0033907,00-0033907,Unknown,True,True,False
00-0033913,00-0033913,Unknown,True,True,False
00-0033918,00-0033918,Unknown,True,True,False
00-0033926,00-0033926,Unknown,False,False,False
00-0033928,00-0033928,Unknown,True,True,False
00-0033930,00-0033930,Unknown,True,True,False
00-0033935,00-0033935,Unknown,False,False,False
00-0033940,00-0033940,Unknown,True,True,False
00-0033941,00-0033941,Unknown,True,True,False
00-0033947,00-0033947,Unknown,True,True,False
00-0033952,00-0033952,Unknown,True,True,False
00-0033958,00-0033958,Unknown,True,False,False
00-0034091,00-0034091,Unknown,True,True,False
00-0034116,00-0034116,Unknown,True,True,False
00-0034163,00-0034163,Unknown,True,True,False
00-0034203,00-0034203,Unknown,True,True,False
00-0034234,00-0034234,Unknown,True,False,False
00-0034248,00-0034248,Unknown,True,True,False
00-0034251,00-0034251,Unknown,True,True,False
00-0034263,00-0034263,Unknown,True,True,False
00-0034264,00-0034264,Unknown,True,True,False
00-0034275,00-0034275,Unknown,True,True,False
00-0034277,00-0034277,Unknown,True,True,False
00-0034278,00-0034278,Unknown,True,True,False
00-0034285,00-0034285,Unknown,True,True,False
00-0034296,00-0034296,Unknown,True,True,False
00-0034302,00-0034302,Unknown,True,True,False
00-0034320,00-0034320,Unknown,True,True,False
00-0034333,00-0034333,Unknown,True,True,False
00-0034350,00-0034350,Unknown,True,True,False
00-0034355,00-0034355,Unknown,True,True,False
00-0034356,00-0034356,Unknown,True,True,False
00-0034357,00-0034357,Unknown,True,True,False
00-0034359,00-0034359,Unknown,True,True,False
00-0034360,00-0034360,Unknown,True,True,False
00-0034361,00-0034361,Unknown,True,True,False
00-0034368,00-0034368,Unknown,True,True,False
00-0034371,00-0034371,Unknown,True,True,False
00-0034373,00-0034373,Unknown,True,True,False
00-0034374,00-0034374,Unknown,True,True,False
00-0034375,00-0034375,Unknown,True,True,False
00-0034376,00-0034376,Unknown,True,True,False
00-0034377,00-0034377,Unknown,True,True,False
00-0034381,00-0034381,Unknown,True,True,False
00-0034384,00-0034384,Unknown,True,True,False
00-0034385,00-0034385,Unknown,True,True,False
00-0034387,00-0034387,Unknown,True,True,False
00-0034391,00-0034391,Unknown,True,True,False
00-0034397,00-0034397,Unknown,True,True,False
00-0034401,00-0034401,Unknown,True,False,False
00-0034413,00-0034413,Unknown,True,True,False
00-0034424,00-0034424,Unknown,True,True,False
00-0034430,00-0034430,Unknown,True,True,False
00-0034431,00-0034431,Unknown,True,True,False
00-0034438,00-0034438,Unknown,True,True,False
00-0034446,00-0034446,Unknown,False,False,False
00-0034461,00-0034461,Unknown,True,True,False
00-0034465,00-0034465,Unknown,True,True,False
